nom,roadname,gestionnaire,parc_id,sens_aire,nature,core,double,amenageur,operateur,p_cum,p_max,id_station_itinerance,station_id
Aire de l'Adour Est,,,1939,est,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF078611,11086
Aire du Marsan,,,1399,,aire de repos,False,,,,,,,
Aire de la Porte d'Armagnac,,,1408,,aire de repos,False,,,,,,,
Aire du coeur d'Aquitaine Ouest,,,1253,ouest,aire de service,False,,,,,,,
Aire du coeur d'Aquitaine Est,,,1940,est,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587350,11622
Mas d'Agenais Sud,,,1254,sud,aire de service,True,,,,,,,
Mas d'Agenais Nord,,,1937,nord,aire de service,True,,,,,,,
A62 - MAS D'AGENAIS,,ASF,1255,,aire de service,True,,Ionity,Ionity,2943.0,350.0,FRIOYP9587330,11613
Cocumont Nord,,,1439,nord,aire de repos,True,,,,,,,
Cocumont Sud,,,1440,sud,aire de repos,True,,,,,,,
Bazadais Nord,,,1442,nord,aire de repos,True,,,,,,,
Bazadais Sud,,,1443,sud,aire de repos,True,,,,,,,
Aire de Bazas,,,1437,,aire de repos,False,,,,,,,
A62 - TERRES DES GRAVES SUD,,ASF,2142,sud,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF007451TOTEMSA,10897
A62 - TERRES DES GRAVES NORD,,ASF,1941,nord,aire de service,True,,Shell Recharge,Shell Recharge,1494.0,300.0,FRSHEP5222200,16583
A89 - LES PALOMBIERES,,ASF,1945,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,5100.0,300.0,FRHPCPNF080372,11167
Vignes Nord,,,1454,nord,aire de repos,False,,,,,,,
Vignes Sud,,,1455,sud,aire de repos,False,,,,,,,
,,,2282,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,700.0,175.0,FRHPCPNF078551,11079
,,,2393,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF042677,10929
A10 - L'ESTALOT,,ASF,1942,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,700.0,175.0,FRHPCPNF078546,11078
A10 - MEILLAC,,ASF,2143,,aire de service,True,,Atlante,Atlante France,3338.0,300.0,FRATLPFR00307,6590
Cezac,,,1456,,aire de repos,True,,Electra,Electra,3522.0,400.0,FRELCP12954199,9566
Saint Christoly,,,1458,,aire de repos,True,,,,,,,
A10 - SAUGON EST,,ASF,1259,est,aire de service,True,,,,,,,
Saugon Est,,,1943,est,aire de service,True,,CityFMET,SPIE CityNetworks,2932.0,300.0,FREVAP33502A,10240
Saugon Ouest,,,2144,ouest,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587288,11595
A10 - SAUGON OUEST,,ASF,1260,ouest,aire de service,True,,,,,,,
Boisredon,,,1469,,aire de repos,True,,Electra,Electra,2322.0,400.0,FRELCP12954376,9623
Saint Caprais,,,1468,,aire de repos,True,,Electra,Electra,2922.0,400.0,FRELCP12954378,9624
A10 - SAINT-LEGER OUEST,,ASF,2147,ouest,aire de service,True,,Atlante,Atlante France,6160.0,300.0,FRATLPFR00309,6592
