id_pdc_itinerance,id_station_itinerance
FRTSLE10EXI4,FRTSLP3078
FRTSLE0005TP,FRTSLP29982
FRTSLE0DDQQL,FRTSLP30032
FRTSLE0DJDFK,FRTSLP1720
FRTSLE1U4LEG,FRTSLP437128
FRTSLE0DZRE4,FRTSLP29581
FRTSLE0DDQPX,FRTSLP30032
FRTSLE2S89PT,FRTSLP29982
FRTSLE0003PJ,FRTSLP1766
FRTSLE10EXI9,FRTSLP3078
FRTSLE10EXI7,FRTSLP3078
FRTSLE0005U7,FRTSLP29982
FRTSLE0DJDLG,FRTSLP1720
FRTSLE3AYPTN,FRTSLP1720
FRTSLE0DZ67I,FRTSLP29581
FRTSLE00050J,FRTSLP20265
FRTSLE0004GN,FRTSLP1726
FRTSLE00050X,FRTSLP20265
FRTSLE0CRRVM,FRTSLP29767
FRTSLE0CRRW7,FRTSLP29767
FRTSLE0CRRU4,FRTSLP29767
FRTSLE0CRRUB,FRTSLP29767
FRTSLE0CRRUK,FRTSLP29767
FRTSLE0CRRUQ,FRTSLP29767
FRTSLE0CRYVL,FRTSLP29767
FRTSLE0CRRU7,FRTSLP29767
FRTSLE0CRRVW,FRTSLP29767
FRTSLE0CRYVC,FRTSLP29767
FRTSLE0CRRU2,FRTSLP29767
FRTSLE0CRRUX,FRTSLP29767
FRTSLE2S89PU,FRTSLP29982
FRTSLE1Y4BU9,FRTSLP437609
FRTSLE0DJDJU,FRTSLP1720
FRTSLE0DZ67M,FRTSLP29581
FRTSLE0JXXT8,FRTSLP30203
FRTSLE0JXXTB,FRTSLP30203
FRTSLE0005O3,FRTSLP30249
FRTSLE00045J,FRTSLP1720
FRTSLE12KBUS,FRTSLP1726
FRTSLE3C94RQ,FRTSLP3078
FRTSLE0ZHY22,FRTSLP29562
FRTSLE0005OV,FRTSLP29984
FRTSLE0005OX,FRTSLP29984
FRTSLE00045R,FRTSLP1720
FRTSLE0005JB,FRTSLP28781
FRTSLE0005JP,FRTSLP28781
FRTSLE0005J5,FRTSLP28781
FRTSLE0005JR,FRTSLP28781
FRTSLE0005JT,FRTSLP28781
FRTSLE0005MD,FRTSLP30045
FRTSLE0005LL,FRTSLP30045
FRTSLE0005MF,FRTSLP30045
FRTSLE0003HR,FRTSLP5673
FRTSLE0003HD,FRTSLP5673
FRTSLE0005LV,FRTSLP30045
FRTSLE0005M9,FRTSLP30045
FRTSLE0005LH,FRTSLP30045
FRTSLE0005LZ,FRTSLP30045
FRTSLE0005LJ,FRTSLP30045
FRTSLE00045L,FRTSLP1720
FRTSLE0005MZ,FRTSLP30181
FRTSLE0005MN,FRTSLP30181
FRTSLE0005IR,FRTSLP28781
FRTSLE0005JD,FRTSLP28781
FRTSLE0005IX,FRTSLP28781
FRTSLE0005JL,FRTSLP28781
FRTSLE0C8458,FRTSLP29983
FRTSLE0C846F,FRTSLP29983
FRTSLE0C8454,FRTSLP29983
FRTSLE0C846H,FRTSLP29983
FRTSLE00045N,FRTSLP1720
FRTSLE00045T,FRTSLP1720
FRTSLE00045V,FRTSLP1720
FRTSLE0003HJ,FRTSLP5673
FRTSLE0NBHKD,FRTSLP33157
FRTSLE0003H1,FRTSLP5673
FRTSLE0003HN,FRTSLP5673
FRTSLE0003PH,FRTSLP1766
FRTSLE0ZHY24,FRTSLP29562
FRTSLE0ZHY1Z,FRTSLP29562
FRTSLE0DZ67J,FRTSLP29581
FRTSLE0NBHKB,FRTSLP33157
FRTSLE0DP5FS,FRTSLP30255
FRTSLE0003HP,FRTSLP5673
FRTSLE0CF49Q,FRTSLP33175
FRTSLE0CF47O,FRTSLP33175
FRTSLE3AYPTX,FRTSLP1720
FRTSLE0DJDHE,FRTSLP1720
FRTSLE3AYPTP,FRTSLP1720
FRTSLE3AYPTQ,FRTSLP1720
FRTSLE0DJDI7,FRTSLP1720
FRTSLE0003HL,FRTSLP5673
FRTSLE0003I9,FRTSLP5673
FRTSLE3AYPTS,FRTSLP1720
FRTSLE0003HF,FRTSLP5673
FRTSLE0005MH,FRTSLP30045
FRTSLE0DJDJC,FRTSLP1720
FRTSLE0DZ67H,FRTSLP29581
FRTSLE0003HB,FRTSLP5673
FRTSLE0F4VF2,FRTSLP30256
FRTSLE0005P1,FRTSLP29984
FRTSLE0DJDKV,FRTSLP1720
FRTSLE0003I5,FRTSLP5673
FRTSLE0DJDGB,FRTSLP1720
