,id_station_itinerance,month,energy
330,FRTSLP1756,4,70189.333
331,FRTSLP1756,5,69136.438
332,FRTSLP1756,6,71530.068
333,FRTSLP1756,7,89307.838
334,FRTSLP1756,8,76582.739
335,FRTSLP1756,9,64341.7078
336,FRTSLP1757,3,1134.8129999999999
337,FRTSLP1757,4,82739.304
338,FRTSLP1757,5,65981.915
339,FRTSLP1757,6,67320.135
340,FRTSLP1757,7,98067.64
341,FRTSLP1757,8,95881.279
342,FRTSLP1757,9,47078.8574
343,FRTSLP1758,3,1915.978
344,FRTSLP1758,4,98538.544
345,FRTSLP1758,5,83499.313
346,FRTSLP1758,6,91754.778
347,FRTSLP1758,7,120854.408
348,FRTSLP1758,8,106762.38
349,FRTSLP1758,9,70173.4934
350,FRTSLP1759,3,2397.323
351,FRTSLP1759,4,146113.424
352,FRTSLP1759,5,152903.104
353,FRTSLP1759,6,172927.903
354,FRTSLP1759,7,266928.154
355,FRTSLP1759,8,278645.907
356,FRTSLP1759,9,130744.4986
357,FRTSLP1760,3,1955.7920000000001
358,FRTSLP1760,4,85951.164
359,FRTSLP1760,5,79175.9563
360,FRTSLP1760,6,82312.1415
361,FRTSLP1760,7,81478.094
362,FRTSLP1760,8,69055.6713
363,FRTSLP1760,9,76638.6142
364,FRTSLP1761,3,1907.122
365,FRTSLP1761,4,98133.716
366,FRTSLP1761,5,94561.353
367,FRTSLP1761,6,94206.138
368,FRTSLP1761,7,97755.333
369,FRTSLP1761,8,90178.189
370,FRTSLP1761,9,81467.5126
371,FRTSLP1762,3,788.054
372,FRTSLP1762,4,65989.409
373,FRTSLP1762,5,63668.582
374,FRTSLP1762,6,65535.892
375,FRTSLP1762,7,104983.717
376,FRTSLP1762,8,123084.371
377,FRTSLP1762,9,47335.0025
378,FRTSLP1763,3,1316.053
379,FRTSLP1763,4,53976.937
380,FRTSLP1763,5,50361.052
381,FRTSLP1763,6,52346.101
382,FRTSLP1763,7,61136.388
383,FRTSLP1763,8,58882.409
384,FRTSLP1763,9,38457.3448
385,FRTSLP1764,3,2194.34
386,FRTSLP1764,4,111268.735
