Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,ASF_A_469 - Coulombiers Nord,R,ASF,53329.82046,C,A10
RRN C,Brouck,R,SANEF,15761.88466,C,A4
RRN C,ASF_A_474 - Aire de Sainte-N�omaye Nord,R,ASF,32647.91545,C,A10
RRN C,ASF_A_473 - Aire de Sainte-N�omaye Sud,R,ASF,23305.28687,C,A10
RRN C,Maille,R,COFIROUTE,18026.13917,C,A10
RRN C,Aire de Tours-La Longue Vue,S,COFIROUTE,89346.77319,C,A10
RRN C,Blois-Villerbon,S,COFIROUTE,69132.23455,C,A10
RRN C,Blois-Menars,S,COFIROUTE,58171.68041,C,A10
RRN C,Fonches,R,SANEF,20422.57596,C,A1
RRN C,Coeur des Hauts de France Est,S,SANEF,111728.4318,C,A1
RRN C,Coeur des Hauts de France Ouest,S,SANEF,111736.3056,C,A1
RRN C,Barastre,R,SANEF,15298.14234,C,A2
RRN C,Chennevieres,R,SANEF,8275.88257,C,A1
RRN C,ASF_A_356 - Aire de Ledenon Nord,R,ASF,15944.08509,C,A9
RRN C,Beaune - Merceuil,S,APRR,146608.8143,C,A6
RRN C,Beaune - Tailly,S,APRR,299587.9189,C,A6
RRN C,Aire du péage de Vienne Est,P,ASF,14842.17387,C,A7N
RRN C,ASF_A_443 - Aire de Baziège,R,ASF,26671.33357,C,A61
RRN C,ASF_A_503 - Sainte-Florence,R,ASF,122832.5293,C,A83
RRN C,ASF_A_499 - Aire de Baun� Ouest,R,ASF,50954.90548,C,A11
RRN C,Fond de la Commanderie,R,SANEF,32020.51691,C,A16
RRN C,Falaises de Widehem Est,R,SANEF,24237.50134,C,A16
RRN C,ASF_A_507 - Les oiseaux,R,ASF,93179.67349,C,A837
RRN C,ASF_A_508 - Pierre de Crazannes,R,ASF,45778.66909,C,A837
RRN C,Chermignac Ouest,R,ASF,25116.0537,C,A10
RRN C,ASF_A_490 - Saint Caprais,R,ASF,31812.89786,C,A10
RRN C,ASF_A_452 - Aire de Saubion Nord,R,ASF,51562.77635,C,A63
RRN C,COEUR D'AQUITAINE,S,ALIENOR,87068.70673,C,A65
RRN C,Beuzeville Nord,S,SAPN,41892.63829,C,A13
RRN C,Beuzeville Sud,S,SAPN,51656.86588,C,A13
RRN C,Eturqueraye,R,SAPN,8910.19349,C,A13
RRN C,Chateau de Ricoudet,R,COFIROUTE,50129.34523,C,A81
RRN C,Charmes,R,COFIROUTE,52941.45071,C,A11
RRN C,Chartres-Bois-Paris,S,COFIROUTE,57907.26109,C,A11
RRN C,Chaudonnes,R,COFIROUTE,33329.66998,C,A11
RRN C,Arbonne,R,APRR,5307.54725,C,A6
RRN C,Les Patures,R,APRR,8189.91134,C,A6
RRN C,La Biche,R,APRR,27002.72679,C,A6
RRN C,Le Thureau,R,APRR,14329.5258,C,A6
RRN C,Venoy - Soleil Levant,S,APRR,89443.17381,C,A6
RRN C,Venoy - Chablis,S,APRR,88844.10459,C,A6
RRN C,Le Buisson Rond,R,APRR,20251.44534,C,A6
RRN C,La Grosse Tour,R,APRR,33536.51005,C,A6
RRN C,Le Chevreuil,R,APRR,36645.50404,C,A6
RRN C,La Couee,R,APRR,25079.28732,C,A6
RRN C,Montmorency,R,APRR,25187.97751,C,A6
RRN C,La Come,R,APRR,11170.55482,C,A6
RRN C,Ruffey,R,APRR,9812.25597,C,A6
RRN C,Marcigny,R,APRR,22500.99733,C,A6
RRN C,Les Locheres,S,APRR,107575.7739,C,A6
RRN C,Le Chien Blanc,S,APRR,80349.25595,C,A6
RRN C,La Repotte,R,APRR,27254.90002,C,A6
RRN C,Le Bois des Corbeaux,R,APRR,10594.98412,C,A6
RRN C,Savigny les Beaune,R,APRR,10716.56913,C,A6
RRN C,Corgoloin,R,APRR,25350.39451,C,A31
RRN C,Serrigny,R,APRR,15428.5254,C,A31
RRN C,PICCOLARET,R,ESCOTA,15674.57553,C,A8
RRN C,PORT LAURAGAIS NORD,S,ASF,112365.13,C,A61
RRN C,PORT LAURAGAIS SUD,S,ASF,116183.7288,C,A61
RRN C,Le Granier,S,AREA,40045.34743,C,A43
RRN C,Le Sophora,R,APRR,18908.18049,C,A77
RRN C,Le Hetre Poupre,R,APRR,30266.4188,C,A77
RRN C,Longeville-les-Saint-Avold Sud,S,SANEF,45040.60054,C,A4
RRN C,Le Reveillon,R,COFIROUTE,15638.53373,C,A11
RRN C,Aire des Montilets,R,COFIROUTE,39752.53858,C,A11
RRN C,Oyeu,R,AREA,24667.80476,C,A48
RRN C,Reims Champagne Sud,S,SANEF,45464.59186,C,A4
RRN C,Reims Champagne Nord,S,SANEF,78685.01187,C,A4
RRN C,Vallee de la Selle Ouest,R,SANEF,33054.6325,C,A16
RRN C,La Talmouse,R,SANEF,21146.53351,C,A4
RRN C,Lhery,R,SANEF,22138.79169,C,A4
RRN C,Le Gingko,R,APRR,23106.92904,C,A77
RRN C,Le Tulipier,R,APRR,21180.3278,C,A77
RRN C,Le Champ a la Croix,R,APRR,27552.25006,C,A5
RRN C,La Grande Bucaille,R,SANEF,14056.25767,C,A26
RRN C,Les Trois Cretes,R,SANEF,13881.71284,C,A26
RRN C,La Cressonniere,R,SANEF,14004.32337,C,A26
RRN C,Le Plateau,R,SANEF,22263.55222,C,A26
RRN C,La Vacquerie,R,SANEF,14538.82726,C,A26
RRN C,Mont de Charme,R,SANEF,21846.58597,C,A4
RRN C,La Noblette,R,SANEF,29330.58473,C,A4
RRN C,Villy le Moutier,R,APRR,31018.83133,C,A36
RRN C,Saint-Nicolas-de-Bourgueil,R,COFIROUTE,58616.38779,C,A85
RRN C,Grundviller,R,SANEF,18269.96399,C,A4
RRN C,Petit Hambach,R,SANEF,19754.15018,C,A4
RRN C,La Fontaine d'Olive Sud,R,SANEF,36581.94884,C,A4
RRN C,La Fontaine d'Olive Nord,R,SANEF,48195.97792,C,A4
RRN C,La Vallee du Loing,R,ARCOUR,21803.72216,C,A19
RRN C,Philippe Rossi,R,ARCOUR,22147.84299,C,A19
RRN C,Launay,R,COFIROUTE,22624.89457,C,A11
RRN C,Le Cellier,R,COFIROUTE,28334.262,C,A11
RRN C,St Girod,R,AREA,8329.90778,C,A41
RRN C,Le Liquidambar,R,APRR,23948.97313,C,A77
RRN C,La Michaille,R,APRR,9593.30335,C,A40
RRN C,La Semine,R,APRR,9331.07728,C,A40
RRN C,Les Bonnettes,R,SANEF,28222.77817,C,A26
RRN C,Le Bois d'Huez,R,SANEF,27704.79425,C,A26
RRN C,la Tille,R,APRR,51529.67465,C,A31
RRN C,Pre d'Azur,R,APRR,53506.41943,C,A31
RRN C,Sainte Gertrude,R,APRR,37625.82425,C,A31
RRN C,Grand Repenti,R,APRR,19496.70011,C,A31
RRN C,Le Vernay,R,AREA,12570.21998,C,A43
RRN C,l'Omble,R,AREA,4435.87856,C,A43
RRN C,ASF_A_342 - Aire des Chaninats,R,ASF,21452.33292,C,A72
RRN C,Saint Brice,R,SANEF,25180.57206,C,A26
RRN C,Le Broyon,R,SANEF,15720.67324,C,A26
RRN C,L'Omignon,R,SANEF,25830.06454,C,A26
RRN C,Aire de la haute Bruyère,R,SANEF,48160.13948,C,A26
RRN C,Crocs de la Terre,R,APRR,61120.0315,C,A26
