,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
1817,747.0,FRPD1PIBSPTR,187.5,4813,True,echangeur,parc 1725
1818,284.0,FRPD1PNOVBOV,60.0,4816,False,echangeur,parc 2964
1819,262.0,FREVZP728F8145E6954F5394DE841E0F689,120.0,4823,False,rond-point,parc 3297
1820,632.0,FRPD1PACCEVR,200.0,4826,True,rond-point,parc 3471
1821,672.0,FRPD1PKRDTNC,200.0,4827,True,echangeur,parc 2799
1822,5000.0,FRTSLP16321,250.0,4837,True,echangeur,parc 1843
1823,122.0,FRPD1PITMILC,50.0,4838,False,echangeur,parc 2616
1824,1400.0,FRIOYP5967AM4AL1R1,350.0,4860,False,aire de service,parc 1275
1825,2100.0,FRIOYPU1EB0TJUREN,350.0,4862,True,aire de service,parc 848
1826,2184.58,FRLMSP89370711,300.0,4864,True,aire de service,parc 919
1827,1543.0,FRIOYP77KHV9WRQSRG,350.0,4874,False,aire de service,parc 1303
1828,143.0,FRIOYP1YDQQSU69BXF,50.0,4877,True,aire de service,parc 1120
1829,3084.58,FRLMSP89369696,300.0,4901,True,aire de service,parc 1060
1830,1943.0,FRIOYP28E0FLMDBJ62,350.0,4945,True,aire de service,parc 1038
1831,1543.0,FRIOYP6K0QLKPBREZ3,350.0,4953,True,aire de service,parc 831
1832,2784.5,FRVIAP102116,300.0,4968,True,aire de service,parc 1220
1833,2784.58,FRLMSP89369760,300.0,4976,True,aire de service,parc 1064
1834,3786.0,FRIOYP7Y9GO24M0DQQ,350.0,4987,False,aire de service,parc 804
1835,3086.0,FRIOYP1Q0KNUI7VHFF,350.0,4989,False,aire de service,parc 829
1836,3672.0,FRVIAP101101,300.0,4994,True,aire de service,parc 889
1837,44.0,FRALLEGO800505,22.0,5023,True,aire de service,parc 832
1838,1543.0,FRIOYP6VOR1SKCS4B4,350.0,5070,False,aire de service,parc 960
1839,1543.0,FRIOYP2JDAP2MEVUVF,350.0,5098,False,aire de service,parc 806
1840,8844.0,FRELCPAAL45,300.0,5101,True,aire de service,parc 951
1841,1543.0,FRIOYP4IFKKNLXYXP6,350.0,5116,False,aire de service,parc 1127
1842,2543.0,FRIOYP1DXHLRCKXZ9K,400.0,5122,True,aire de service,parc 1121
1843,5832.0,FRVIAP104101,300.0,5148,True,aire de service,parc 814
1844,1543.0,FRIOYP57LY6DUQFNBT,350.0,5163,False,aire de service,parc 906
1845,1543.0,FRIOYPBZKYM1NQAUI,350.0,5169,True,aire de service,parc 942
1846,1543.0,FRIOYPR23ZCE0GD3I,350.0,5183,True,aire de service,parc 1080
1847,2943.0,FRIOYPPVNH9CYFPNX,350.0,5219,True,aire de service,parc 818
1848,20.0,FRALLEGO9789429,20.0,5240,False,aire de service,parc 1128
1849,66.0,FRIOYP8JM8O03IM5R6,22.0,5254,False,aire de service,parc 804
1850,2184.5,FRVIAP102106,300.0,5256,False,aire de service,parc 903
1851,2472.0,FRVIAP101106,300.0,5268,True,aire de service,parc 936
1852,1543.0,FRIOYP2IU86S17OKJJ,350.0,5278,True,aire de service,parc 1018
1853,3086.0,FRIOYP1R71QBNOHL22,350.0,5281,True,aire de service,parc 977
1854,600.0,FRALLEGO800023,300.0,5308,False,aire de service,parc 838
1855,2250.82,FRLMSP89369718,300.0,5348,False,aire de service,parc 874
