,id_station_itinerance,periode,occupe,hors_service,libre,nb_pdc,hs,inactif,sature,surcharge,actif,pleine_occ,state
252000,FRIOYP188,2025-08-31 00:00:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252001,FRIOYP188,2025-08-31 00:05:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252002,FRIOYP188,2025-08-31 00:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252003,FRIOYP188,2025-08-31 00:15:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252004,FRIOYP188,2025-08-31 00:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252005,FRIOYP188,2025-08-31 00:25:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252006,FRIOYP188,2025-08-31 00:30:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252007,FRIOYP188,2025-08-31 00:35:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252008,FRIOYP188,2025-08-31 00:40:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252009,FRIOYP188,2025-08-31 00:45:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252010,FRIOYP188,2025-08-31 00:50:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252011,FRIOYP188,2025-08-31 00:55:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252012,FRIOYP188,2025-08-31 01:00:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252013,FRIOYP188,2025-08-31 01:05:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252014,FRIOYP188,2025-08-31 01:10:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252015,FRIOYP188,2025-08-31 01:15:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252016,FRIOYP188,2025-08-31 01:20:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252017,FRIOYP188,2025-08-31 01:25:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252018,FRIOYP188,2025-08-31 01:30:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252019,FRIOYP188,2025-08-31 01:35:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252020,FRIOYP188,2025-08-31 01:40:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252021,FRIOYP188,2025-08-31 01:45:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252022,FRIOYP188,2025-08-31 01:50:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252023,FRIOYP188,2025-08-31 01:55:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252024,FRIOYP188,2025-08-31 02:00:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252025,FRIOYP188,2025-08-31 02:05:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252026,FRIOYP188,2025-08-31 02:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252027,FRIOYP188,2025-08-31 02:15:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252028,FRIOYP188,2025-08-31 02:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252029,FRIOYP188,2025-08-31 02:25:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252030,FRIOYP188,2025-08-31 02:30:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252031,FRIOYP188,2025-08-31 02:35:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252032,FRIOYP188,2025-08-31 02:40:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252033,FRIOYP188,2025-08-31 02:45:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252034,FRIOYP188,2025-08-31 02:50:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252035,FRIOYP188,2025-08-31 02:55:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252036,FRIOYP188,2025-08-31 03:00:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252037,FRIOYP188,2025-08-31 03:05:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252038,FRIOYP188,2025-08-31 03:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252039,FRIOYP188,2025-08-31 03:15:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252040,FRIOYP188,2025-08-31 03:20:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252041,FRIOYP188,2025-08-31 03:25:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252042,FRIOYP188,2025-08-31 03:30:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252043,FRIOYP188,2025-08-31 03:35:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252044,FRIOYP188,2025-08-31 03:40:00+00:00,2,0,4,6,False,False,False,False,True,False,3
252045,FRIOYP188,2025-08-31 03:45:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252046,FRIOYP188,2025-08-31 03:50:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252047,FRIOYP188,2025-08-31 03:55:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252048,FRIOYP188,2025-08-31 04:00:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252049,FRIOYP188,2025-08-31 04:05:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252050,FRIOYP188,2025-08-31 04:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252051,FRIOYP188,2025-08-31 04:15:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252052,FRIOYP188,2025-08-31 04:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252053,FRIOYP188,2025-08-31 04:25:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252054,FRIOYP188,2025-08-31 04:30:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252055,FRIOYP188,2025-08-31 04:35:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252056,FRIOYP188,2025-08-31 04:40:00+00:00,1,0,5,6,False,False,False,False,True,False,3
252057,FRIOYP188,2025-08-31 04:45:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252058,FRIOYP188,2025-08-31 04:50:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252059,FRIOYP188,2025-08-31 04:55:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252060,FRIOYP188,2025-08-31 05:00:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252061,FRIOYP188,2025-08-31 05:05:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252062,FRIOYP188,2025-08-31 05:10:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252063,FRIOYP188,2025-08-31 05:15:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252064,FRIOYP188,2025-08-31 05:20:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252065,FRIOYP188,2025-08-31 05:25:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252066,FRIOYP188,2025-08-31 05:30:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252067,FRIOYP188,2025-08-31 05:35:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252068,FRIOYP188,2025-08-31 05:40:00+00:00,0,0,6,6,False,True,False,False,False,False,2
252069,FRIOYP188,2025-08-31 05:45:00+00:00,0,0,6,6,False,True,False,False,False,False,2
