idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
4684,"[49.0479, 3.29216]","[0.9724109999999999, 0.23327599999999998]",AR,La Fontenelle,{'roadname': 'A4'},,,
4685,"[47.866, 3.49697]","[0.965926, -0.25881899999999997]",AR,La Biche,{'roadname': 'A6'},,,
4686,"[47.8554, 3.54863]","[0, 1]",EC,Auxerre nord,"{'numero': '19', 'roadname': 'A6'}",,,
4687,"[48.2453, 3.55486]","[0.9621700000000001, -0.27244799999999997]",AS,Villeneuve l'Archevèque Nord,{'roadname': 'A5'},,,
4688,"[48.2453, 3.55486]","[-0.960391, 0.278656]",AS,Villeneuve Vauluisant Sud,{'roadname': 'A5'},,,
4689,"[48.2408, 3.5988100000000003]","[0, 1]",EC,Vulaines,"{'numero': '19', 'roadname': 'A5'}",,,
4690,"[48.2726, 3.86965]","[-0.9942639999999999, -0.106958]",AR,Fontvannes,{'roadname': 'A5'},,,
4691,"[48.2726, 3.86965]","[0.978796, -0.204838]",AR,Tomelles,{'roadname': 'A5'},,,
4692,"[48.2212, 4.12861]","[0, 1]",EC,Saint Thibault,"{'numero': '21', 'roadname': 'A5'}",,,
4693,"[48.2716, 3.94579]","[0, 1]",EC,Torvilliers,"{'numero': '20', 'roadname': 'A5'}",,,
4694,"[48.2305, 4.05774]","[-0.789727, 0.613459]",AR,La Coloterie,{'roadname': 'A5'},,,
4695,"[48.2342, 4.03685]","[0.9725729999999999, -0.232597]",AR,Saint Pouange,{'roadname': 'A5'},,,
4696,"[48.213, 4.24098]","[0.775386, -0.6314879999999999]",AS,Troyes - Fresnoy Nord,{'roadname': 'A5'},,,
4697,"[48.213, 4.24098]","[-0.5661189999999999, 0.824324]",AS,Troyes le Plessis Sud,{'roadname': 'A5'},,,
4698,"[48.2293, 4.17976]","[0, 1]",BI,Jonction A26/A5,{'roadname': 'A26'},,,
4699,"[48.2915, 4.16563]","[0, 1]",EC,Thenelierres,"{'numero': '23', 'roadname': 'A26'}",,,
4700,"[48.4112, 4.14677]","[1.22465e-16, -1]",AR,Charmont-sous-Barbuise,{'roadname': 'A26'},,,
4701,"[48.4112, 4.14677]","[0, 1]",AR,Charmont-sous-Barbuise,{'roadname': 'A26'},,,
4702,"[48.4133, 4.14625]","[0, 1]",EC,Charmont,"{'numero': '22', 'roadname': 'A26'}",,,
4703,"[48.3307, 4.16725]","[0.102272, 0.994757]",AR,Crocs de la Terre,{'roadname': 'A26'},,,
4704,"[48.3307, 4.16725]","[0.0608743, -0.998145]",AR,Villechétif,{'roadname': 'A26'},,,
4705,"[48.1346, 4.65077]","[-0.842734, 0.5383300000000001]",AR,Champignol,{'roadname': 'A5'},,,
4706,"[48.1346, 4.65077]","[0.846472, -0.5324329999999999]",AR,Mondeville,{'roadname': 'A5'},,,
4707,"[48.1125, 4.78336]","[0, 1]",EC,Ville sous la Ferté,"{'numero': '23', 'roadname': 'A5'}",,,
4708,"[47.9137, 5.22192]","[0, 1]",BI,Jonction A31/A5,{'roadname': 'A31'},,,
4709,"[47.9632, 5.14907]","[0.406418, -0.9136869999999999]",AR,Bois Moyen,{'roadname': 'A5'},,,
4710,"[47.9632, 5.14907]","[-0.446354, 0.894856]",AR,Champ à la Croix,{'roadname': 'A5'},,,
4711,"[48.0562, 4.95837]","[0.796213, -0.605016]",AS,Château Villain - Val Marnay Nord,{'roadname': 'A5'},,,
4712,"[48.0562, 4.95837]","[-0.712761, 0.701407]",AS,Châteauvillain - Orges Sud,{'roadname': 'A5'},,,
4713,"[48.0398, 5.06077]","[0, 1]",EC,Chaumont,"{'numero': '24', 'roadname': 'A5'}",,,
4714,"[48.1765, 4.44307]","[0, 1]",EC,Magnant,"{'numero': '22', 'roadname': 'A5'}",,,
4715,"[48.5251, 4.17968]","[0, 1]",EC,Vallée de l'Aube,"{'numero': '21', 'roadname': 'A26'}",,,
4716,"[48.6358, 4.17989]","[0.11407, -0.9934729999999999]",AR,Champ-Carreau,{'roadname': 'A26'},,,
4717,"[48.6358, 4.17989]","[-0.0425732, 0.999093]",AR,Champ-l'Epée,{'roadname': 'A26'},,,
4718,"[48.7312, 4.22429]","[-0.136407, -0.990653]",AS,Sommesous Est,{'roadname': 'A26'},,,
4719,"[48.7312, 4.22429]","[0.283848, 0.958869]",AS,Sommesous Ouest,{'roadname': 'A26'},,,
4720,"[48.7287, 4.2226]","[0, 1]",EC,Sommesous,"{'numero': '20', 'roadname': 'A26'}",,,
4721,"[48.7645, 4.24326]","[0, 1]",EC,Vatry,"{'numero': '19', 'roadname': 'A26'}",,,
4722,"[48.886, 4.29002]","[-0.00174533, 0.9999979999999999]",AR,La Bardolle,{'roadname': 'A26'},,,
4723,"[48.9508, 4.28967]","[0.129142, -0.991626]",AR,La Garenne,{'roadname': 'A26'},,,
4724,"[48.9069, 4.28429]","[0, 1]",EC,Mont-Choisy,"{'numero': '18', 'roadname': 'A26'}",,,
4725,"[48.9704, 4.28386]","[0, 1]",EC,Saint-Gibrien,"{'numero': '17', 'roadname': 'A26'}",,,
4726,"[49.007, 4.29869]","[0.0270493, 0.9996339999999999]",AR,Les Grands Traquiers,{'roadname': 'A26'},,,
4727,"[49.0426, 4.32358]","[0, 1]",EC,La Veuve,"{'numero': '24', 'roadname': 'A4'}",,,
4728,"[49.0347, 4.43984]","[0, 1]",EC,Saint-Etienne-au-Temple,"{'numero': '25', 'roadname': 'A4'}",,,
4729,"[49.0277, 4.5228]","[-0.9623600000000001, -0.27177599999999996]",AR,La Noblette,{'roadname': 'A4'},,,
4730,"[49.0277, 4.5228]","[0.9999659999999999, -0.00820296]",AR,Mont de Charme,{'roadname': 'A4'},,,
4731,"[46.6651, 5.42347]","[0, 1]",EC,Beaurepère,"{'numero': '8', 'roadname': 'A39'}",,,
4732,"[46.7766, 5.52103]","[-0.573576, -0.819152]",AS,Jura Est,{'roadname': 'A39'},,,
4733,"[46.7766, 5.52103]","[0.573576, 0.819152]",AS,Jura Ouest,{'roadname': 'A39'},,,
4734,"[46.777, 5.52155]","[0, 1]",EC,Arlay,"{'numero': '7.1', 'roadname': 'A39'}",,,
4735,"[46.8705, 5.58134]","[0.198342, 0.9801329999999999]",AR,Chat Perché,{'roadname': 'A39'},,,
4736,"[46.8705, 5.58134]","[-0.170381, -0.985378]",AR,La Jument Verte,{'roadname': 'A39'},,,
4737,"[46.8493, 5.57453]","[0.766044, -0.642788]",BA,Barrière de Bersaillin,{'roadname': 'A391'},,,
4738,"[46.8525, 5.57105]","[0, 1]",BI,Jonction A39/A391,"{'numero': '7', 'roadname': 'A39'}",,,
4739,"[46.848, 5.57605]","[0, 1]",EC,Bersaillin,"{'numero': '7', 'roadname': 'A391'}",,,
4740,"[46.8415, 5.62084]","[0, 1]",EC,Poligny,{'roadname': 'A391'},,,
4741,"[46.8415, 5.62084]","[0, 1]",LI,Début concession A391,{'roadname': 'A391'},,,
4742,"[46.8415, 5.62084]","[0, 1]",LI,Fin concession A391,{'roadname': 'A391'},,,
4743,"[47.0653, 5.29961]","[0.981124, 0.193378]",AR,Les Noues,{'roadname': 'A36'},,,
4744,"[47.0653, 5.29961]","[-0.889257, -0.457408]",AR,St Jean de Losne,{'roadname': 'A36'},,,
4745,"[47.0676, 5.43849]","[0, 1]",EC,Choisey,"{'numero': '6', 'roadname': 'A39'}",,,
4746,"[46.9873, 5.50381]","[0.254602, -0.967046]",AR,La Vouivre,{'roadname': 'A39'},,,
4747,"[46.9873, 5.50381]","[-0.202616, 0.979258]",AR,Louis Pasteur,{'roadname': 'A39'},,,
4748,"[47.1304, 5.43519]","[-0.929326, -0.36926000000000003]",AR,Bois des Potets,{'roadname': 'A36'},,,
4749,"[47.1304, 5.43519]","[0.988282, 0.152641]",AR,Sampans,{'roadname': 'A36'},,,
4750,"[47.1222, 5.39087]","[0, 1]",BI,Jonction A36/A39,{'roadname': 'A36'},,,
4751,"[47.1824, 5.33366]","[0.51414, -0.857706]",AS,Pont Chêne d'Argent Est,{'roadname': 'A39'},,,
4752,"[47.1824, 5.33366]","[-0.506636, 0.86216]",AS,Pont Val de Saône Ouest,{'roadname': 'A39'},,,
4753,"[47.2026, 5.30447]","[0, 1]",EC,Soirans,"{'numero': '5', 'roadname': 'A39'}",,,
4754,"[47.1482, 5.58263]","[0.9848079999999999, 0.173648]",AS,Audelange Nord,{'roadname': 'A36'},,,
4755,"[47.1482, 5.58263]","[-0.9848079999999999, -0.173648]",AS,Romange Sud,{'roadname': 'A36'},,,
4756,"[47.1385, 5.51046]","[0, 1]",EC,Dôle,"{'numero': '2', 'roadname': 'A36'}",,,
4757,"[47.1385, 5.51047]","[0, 1]",EC,Dôle,"{'numero': '2', 'roadname': 'A36'}",,,
4758,"[47.1862, 5.70929]","[0, 1]",EC,Gendrey,"{'numero': '2.1', 'roadname': 'A36'}",,,
4759,"[47.1901, 5.75087]","[-0.972614, -0.232427]",AR,Hyombre,{'roadname': 'A36'},,,
4760,"[47.2144, 5.85425]","[0.8660249999999999, 0.5]",AR,Bois de Servole,{'roadname': 'A36'},,,
4761,"[47.2354, 5.89393]","[0, 1]",EC,Besançon Ouest,"{'numero': '3', 'roadname': 'A36'}",,,
4762,"[47.2708, 5.92911]","[0.404024, 0.914748]",AR,Bois de Frachere,{'roadname': 'A36'},,,
4763,"[47.2708, 5.92911]","[-0.7905829999999999, -0.612355]",AR,Pelousey,{'roadname': 'A36'},,,
4764,"[47.2783, 5.9839]","[0, 1]",EC,Besançon Nord,"{'numero': '4', 'roadname': 'A36'}",,,
4765,"[47.328, 6.12584]","[-0.8458209999999999, -0.533467]",AS,Champoux Nord,{'roadname': 'A36'},,,
4766,"[47.328, 6.12584]","[0.8361900000000001, 0.548439]",AS,Marchaux Sud,{'roadname': 'A36'},,,
4767,"[47.3358, 6.15319]","[0, 1]",EC,Besançon Est,"{'numero': '4.1', 'roadname': 'A36'}",,,
4768,"[47.3449, 6.25678]","[1, 6.12323e-17]",AR,Chevaney,{'roadname': 'A36'},,,
4769,"[47.3449, 6.25678]","[-1, -1.83697e-16]",AR,Grands Brocards,{'roadname': 'A36'},,,
4770,"[47.9438, 5.30246]","[-0.946029, -0.324083]",AR,Côte Robert,{'roadname': 'A31'},,,
4771,"[47.9438, 5.30246]","[0.454146, 0.8909269999999999]",AR,Val de Gris,{'roadname': 'A31'},,,
4772,"[47.9307, 5.28757]","[0, 1]",EC,Langres nord,"{'numero': '7', 'roadname': 'A31'}",,,
4773,"[47.9762, 5.49826]","[-0.343987, -0.938974]",AS,Montigny le Roi Est,{'roadname': 'A31'},,,
4774,"[47.9762, 5.49826]","[0.591169, 0.8065479999999999]",AS,Val de Meuse Ouest,{'roadname': 'A31'},,,
4775,"[47.9945, 5.51321]","[0, 1]",EC,Montigny,"{'numero': '8', 'roadname': 'A31'}",,,
4776,"[48.1473, 5.68863]","[0.451345, 0.8923500000000001]",AR,Bois de Chaumont,{'roadname': 'A31'},,,
4777,"[48.1473, 5.68863]","[-0.642788, -0.766044]",AR,Grand Repenti,{'roadname': 'A31'},,,
4778,"[48.1475, 5.68842]","[0, 1]",EC,Robécourt,"{'numero': '8.1', 'roadname': 'A31'}",,,
4779,"[48.2198, 5.83577]","[0, 1]",EC,Bulgnéville,"{'numero': '9', 'roadname': 'A31'}",,,
4780,"[48.2681, 5.86172]","[0.19697299999999998, -0.980409]",AS,Sandaucourt la Trelle Est,{'roadname': 'A31'},,,
4781,"[48.2681, 5.86172]","[-0.0230363, 0.9997349999999999]",AS,Sandaucourt les Rappes Ouest,{'roadname': 'A31'},,,
4782,"[48.3007, 5.85746]","[0, 1]",EC,Châtenois,"{'numero': '10', 'roadname': 'A31'}",,,
4783,"[48.4262, 5.86013]","[-0.0296662, -0.9995600000000001]",AR,Grand chene,{'roadname': 'A31'},,,
4784,"[48.4262, 5.86013]","[-0.173648, 0.9848079999999999]",AR,Val au Renard,{'roadname': 'A31'},,,
4785,"[48.5084, 5.9127]","[-0.141074, -0.989999]",AR,Faverosse,{'roadname': 'A31'},,,
4786,"[48.5084, 5.9127]","[0.186353, 0.982483]",AR,Malvaux,{'roadname': 'A31'},,,
4787,"[48.5366, 5.90629]","[0, 1]",EC,Colombey les belles,"{'numero': '11', 'roadname': 'A31'}",,,
4788,"[48.6606, 5.90969]","[0.7071069999999999, 0.7071069999999999]",AS,Toul Chaudeney Est,{'roadname': 'A31'},,,
4789,"[48.6606, 5.90969]","[-0.7071069999999999, -0.7071069999999999]",AS,Toul Dommartin Ouest,{'roadname': 'A31'},,,
4790,"[48.6297, 5.8833400000000005]","[-0.0871557, 0.9961949999999999]",BA,Barrière de Gye,{'roadname': 'A31'},,,
4791,"[48.6532, 5.88342]","[0, 1]",BI,Jonction A31/N4,"{'numero': '12', 'roadname': 'A31'}",,,
4792,"[48.8816, 6.09653]","[0, 1]",BI,Jonction A31/A313,{'roadname': 'A313'},,,
4793,"[48.8955, 6.07423]","[0, 1]",LI,Limite A313,{'roadname': 'A313'},,,
4794,"[48.5759, 6.17448]","[0, 1]",EC,Flavigny sur Moselle,"{'numero': '7', 'roadname': 'A330'}",,,
4795,"[48.5759, 6.17448]","[0, 1]",EC,Flavigny sur Moselle,"{'numero': '7', 'roadname': 'A330'}",,,
4796,"[48.6397, 6.1813]","[0, 1]",EC,Houdemont Les Egrez,"{'numero': '3', 'roadname': 'A330'}",,,
4797,"[48.6354, 6.18177]","[0, 1]",EC,Fléville,"{'numero': '4', 'roadname': 'A330'}",,,
4798,"[48.6264, 6.18367]","[0, 1]",BI,Jonction A33/A330,{'roadname': 'A330'},,,
4799,"[48.6641, 6.18924]","[0, 1]",LI,Fin A330,{'roadname': 'A330'},,,
