p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
22.0,22.0,FRELCP43D6,Electra,Electra,-4.462316,48.432114
150.0,502.3,FRETIP81144A,E-Totem,E-Totem,2.18218,43.964783
150.0,150.0,FRELCPWYX2,Electra,Electra,-0.063407,44.854019
150.0,150.0,FRELCPYZQ5,Electra,Electra,5.382614,43.302828
50000.0,144160.0,FRDRVPCRFMKT012001,DRIVECO,,5.823054,46.105761
17.0,17.0,FRS37P219851,Modulo,Modulo Energies,0.45328,47.022995
18.0,36.0,FRS77E77219001,Bouygues E&S,Ecocharge77,2.957987,48.822292
300.0,600.0,FRVIAP1000147650,ENGIE Vianeo,ENGIE Vianeo,1.968621,49.807765
160.0,712.0,FRPD1PHF1SRG,Power Dot France,Power Dot France,6.312445,46.22322
300.0,300.0,FRELCPW2ZA,Electra,Electra,-2.158702,47.244652
17.0,17.0,FRS37P221415,Modulo,Modulo Energies,1.084551,47.314136
22.0,44.0,FRS77E77123002,Bouygues E&S,Ecocharge77,2.6631248197074937,48.993199522408624
22.0,44.0,FRALLPGO900699,Allego,Allego,3.045195,50.397031
17.0,17.0,FRS37P221928,Modulo,Modulo Energies,0.393657,47.000005
400.0,400.0,FRFASP336263,Fastned France,Fastned France,2.001091,49.060089
150.0,150.0,FRELCPTTJ5,Electra,Electra,2.241461,48.935171
22.0,44.0,FRALLPGO900989,Allego,Allego,2.160881,48.429554
18.0,36.0,FRS77E77482001,Bouygues E&S,Ecocharge77,2.92905,48.375946
22.0,22.0,FRS88P161638,Modulo,Modulo Energies,6.47546,48.1402
22.0,134.3,FRETIP34172D,E-Totem,E-Totem,3.84857,43.63496
17.0,17.0,FRS28P178731,Modulo,Modulo Energies,1.689164,48.522625
300.0,600.0,FRVIAP1000118146,ENGIE Vianeo,ENGIE Vianeo,0.320512,49.321005
22.0,22.0,FRELCPA97J,Electra,Electra,1.853181,47.90018
100.0,394.0,FRPD1PMARLAU,Power Dot France,Power Dot France,4.025141,48.308282
300.0,600.0,FRVIAP2012208401,ENGIE Vianeo,ENGIE Vianeo,6.112059,49.077394
300.0,300.0,FRELCPK8LT,Electra,Electra,1.004127,44.040485
22.0,44.0,FRALLPGO999025,Allego,Allego,4.83913,44.120124
50000.0,144160.0,FRDRVPCRFMKT312101,DRIVECO,,0.563104,43.089178
50.0,100.0,FRVIAP2014204701,ENGIE Vianeo,ENGIE Vianeo,5.366116,43.295971
320.0,480.0,FRIENP001202,NW IECharge,NW IECharge,-1.387367,48.418057
150.0,150.0,FRELCP7DNP,Electra,Electra,2.074708,48.755001
150.0,150.0,FRELCPFT5L,Electra,Electra,4.838681,44.11893
17.0,17.0,FRS08P46445,Modulo,Modulo Energies,4.365318,49.508675
300.0,600.0,FRVIAP2012207002,ENGIE Vianeo,ENGIE Vianeo,-0.400363,49.200468
150.0,524.3,FRETIP78621A,E-Totem,E-Totem,2.003751,48.770201
22.0,22.0,FRBMPS1006892,NA,NA,49.133331,6.16667
300.0,747.0,FRSHEP70,Shell Recharge,Shell Recharge,0.373537,48.848827
22.0,22.0,FRS88P181161,Modulo,Modulo Energies,6.88182,48.0713
180.0,722.3,FRETIP34129A,E-Totem,E-Totem,3.934016,43.584243
22.0,22.0,FRELCPGCLT,Electra,Electra,2.355376,48.875782
200.0,632.0,FRPD1PBRIRIO,Power Dot France,Power Dot France,3.118431,45.87855
17.0,17.0,FRS41P4388,Modulo,Modulo Energies,1.339852,47.583802
400.0,400.0,FRELCPRPK2,Electra,Electra,2.89191,42.750766
300.0,300.0,FRELCPHV9D,Electra,Electra,5.256257,43.392152
300.0,600.0,FRVIAP2012208101,ENGIE Vianeo,ENGIE Vianeo,5.337421,43.360302
150.0,150.0,FRELCP87TD,Electra,Electra,-0.502617,47.481716
23.0,23.0,FRELCPWQUV,Electra,Electra,8.780501,41.883589
22.0,44.0,FRALLPGO900683,Allego,Allego,1.810628,50.932328
22.0,22.0,FRELCP56QK,Electra,Electra,2.670277,48.55282
22.0,44.0,FRALLPGO800097,Allego,Allego,2.776152,50.423392
320.0,480.0,FRIENP008602,NW IECharge,NW IECharge,6.09642,48.47696
17.0,17.0,FRS51P42092,Modulo,Modulo Energies,4.365981,49.141384
50000.0,144160.0,FRDRVPCRFMKT603601,DRIVECO,,2.084616,49.60356
300.0,600.0,FRALLPGO900034,Allego,Allego,1.094,49.471396
200.0,672.0,FRPD1PMONCHA,Power Dot France,Power Dot France,-1.049519,46.681569
22.0,44.0,FRPD1PIBSMCN,Power Dot France,Power Dot France,4.82709,46.30356
22.0,22.0,FRELCPU5RD,Electra,Electra,2.545927,48.838464
50.0,244.0,FRPD1PIMCETM,Power Dot France,Power Dot France,2.143073,48.442778
50.0,100.0,FRALLPGO700304,Allego,Allego,5.350814,43.362277
350.0,2343.0,FRIOYP4611,Ionity,Ionity,3.43807,43.622589
350.0,1943.0,FRIOYP4758,Ionity,Ionity,0.447974,44.834706
17.0,17.0,FRS37P220477,Modulo,Modulo Energies,0.417,47.297864
120.0,432.0,FRPD1PBUFFAM,Power Dot France,Power Dot France,6.135302,49.246665
22.0,88.0,FREVZP8135FED39D4C4950BEFAD08896CA4,EVzen,Schiever - Bornes publiques,3.288986,48.172436
22.0,44.0,FRALLPGO900992,Allego,Allego,2.160881,48.429554
50000.0,144160.0,FRDRVPCRFMKT882301,DRIVECO,,48.18373,7.004098
50.0,50.0,FRS37P4166,Modulo,Modulo Energies,0.58761,47.108011
2.3,4.6,FRETIP57672H,E-Totem,E-Totem,6.171781,49.367124
17.0,17.0,FRS41P4572,Modulo,Modulo Energies,2.033293,47.533779
22.0,44.0,FRALLPGO900625,Allego,Allego,2.385426,48.94821
22.0,22.0,FRS41P235457,Modulo,Modulo Energies,1.060181,47.794548
300.0,600.0,FRVIAP1234603102,ENGIE Vianeo,ENGIE Vianeo,5.955477,47.220165
22.0,90.3,FRETIP34332B,E-Totem,E-Totem,3.417642,43.294134
17.0,17.0,FRS37P215630,Modulo,Modulo Energies,1.011337,47.132751
350.0,1543.0,FRIOYP4087,Ionity,Ionity,1.525098,45.030878
300.0,600.0,FRALLPGO800064,Allego,Allego,1.482497,43.628258
22.0,44.0,FRALLPGO900602,Allego,Allego,2.420598,47.091485
200.0,200.0,FRELCPRD7J,Electra,Electra,3.180272,50.723548
17.0,17.0,FRN54P203729,Modulo,Modulo Energies,6.19429,48.70356
150.0,150.0,FRELCPDD9X,Electra,Electra,3.11965,45.79208
150.0,300.0,FRALLPGO800193,Allego,Allego,5.208407,46.220401
350.0,3143.0,FRIOYP4831,Ionity,Ionity,6.233669,46.179864
50.0,288.0,FRPD1PSYURLB,Power Dot France,Power Dot France,7.284137,49.047407
300.0,600.0,FRVIAP2014900101,ENGIE Vianeo,ENGIE Vianeo,6.5358,45.4829
50.0,50.0,FRELCPNS82,Electra,Electra,3.084155,50.769642
300.0,600.0,FRVIAP1234603137,ENGIE Vianeo,ENGIE Vianeo,3.14163,45.78655
17.0,17.0,FRS28P127482,Modulo,Modulo Energies,1.348317,48.079206
250.0,5000.0,FRTSLP17346,Tesla,Tesla,4.804932,45.327236
300.0,362.5,FRVIAP1000116974,ENGIE Vianeo,ENGIE Vianeo,5.633879,45.578152
