id_station,p_max,p_cum,operateur,amenageur,longitude,latitude
FRS41PI2IYFWSH,17.0,34.0,Modulo,Modulo Energies,0.995529,47.805809
FRS41PXFXEX5HQ,17.0,34.0,Modulo,Modulo Energies,1.743234,47.359277
FRS37PBUTGSIJC,17.0,34.0,Modulo,Modulo Energies,1.084447,47.314141
FRS77P77057001,22.8,45.6,Bouygues E&S,Ecocharge77,3.236135,48.922424
FRS77P77123002,22.8,45.6,Bouygues E&S,Ecocharge77,2.6631248197074937,48.993199522408624
FRS77P77118006,24.0,46.8,Bouygues E&S,Ecocharge77,2.676683065485753,48.949747053749206
FRS37PCNODQ9VI,17.0,34.0,Modulo,Modulo Energies,1.030155,47.433521
FRS37PKPMZSLGD,17.0,34.0,Modulo,Modulo Energies,0.95074,47.345939
FRS77P77344001,22.8,45.6,Bouygues E&S,Ecocharge77,2.81107448716752,49.0712134292407
FRS55PT0BLECDO,17.0,34.0,Modulo,Modulo Energies,5.662529,49.331998
FRLIBP602605005,50.0,188.0,Eoliberty,Eoliberty,2.425021,49.15005
FRS37PH0TYCE5C,17.0,34.0,Modulo,Modulo Energies,1.143283,47.253201
FRS55PBVJ7ACB9,17.0,34.0,Modulo,Modulo Energies,5.511859,48.821478
FRS37PHYU23PFJ,17.0,34.0,Modulo,Modulo Energies,0.3399,46.957
FRS37PLOLCPA5F,95.0,185.0,Modulo,Modulo Energies,0.166098,47.252323
FRFASP50837,300.0,2400.0,Fastned France,Fastned France,0.861169,49.360989
FRS37PTPQV57T7,17.0,34.0,Modulo,Modulo Energies,0.65006,47.61778
FRS37P491NWQ2S,17.0,34.0,Modulo,Modulo Energies,0.239341,47.169492
FRS41PUSKV4NWF,17.0,34.0,Modulo,Modulo Energies,1.024389,47.797822
FRS28PCQ1N4DJY,17.0,17.0,Modulo,Modulo Energies,1.47347,48.447741
FRS37P0YNJVGO7,17.0,34.0,Modulo,Modulo Energies,0.984944,47.34035
FRS41PJ3VOUQCG,17.0,34.0,Modulo,Modulo Energies,1.525134,47.413841
FRS77P77288005,24.0,92.39999999999999,Bouygues E&S,Ecocharge77,2.66658651658295,48.5308143918996
FRS88PDVG7P8HW,25.0,47.0,Modulo,Modulo Energies,6.924876,48.081364
FRS88PR9SOB4DQ,25.0,47.0,Modulo,Modulo Energies,6.383636,48.307361
FRS77P77360001,22.8,45.6,Bouygues E&S,Ecocharge77,2.984761,48.734184
FROZEPT124IT11823009,124.0,248.0,OZECAR,SAS Ozecar,9.276947275,41.604621609
FRS41P7YGDWKBA,17.0,34.0,Modulo,Modulo Energies,1.233368,47.902339
FRS41PNTB0EN6W,22.0,33.0,Modulo,Modulo Energies,1.460532,47.497488
FRS37PPJFEIA1F,17.0,34.0,Modulo,Modulo Energies,0.616292,47.342306
FRS37P8X677XEH,17.0,34.0,Modulo,Modulo Energies,0.424916,47.119953
FRS88P7BUDCYLR,25.0,47.0,Modulo,Modulo Energies,6.570253,48.281964
FRFASP50799,300.0,2400.0,Fastned France,Fastned France,0.800075,45.149531
FRS55PG5DWIKMO,17.0,34.0,Modulo,Modulo Energies,5.242708,48.593992
FRS41P4440,17.0,17.0,Modulo,Modulo Energies,1.42975,47.421438
FRS77P77477001,22.8,45.6,Bouygues E&S,Ecocharge77,2.602099,48.342205
FRS37P215554,17.0,17.0,Modulo,Modulo Energies,1.096377,47.181837
FRS37P2CXKMHLQ,17.0,34.0,Modulo,Modulo Energies,0.666599,47.390672
FRFASP50830,300.0,1200.0,Fastned France,Fastned France,7.064557,48.974923
FRS28PWM6IALU5,17.0,17.0,Modulo,Modulo Energies,1.522352,48.641926
FRS77P77127002,22.8,45.6,Bouygues E&S,Ecocharge77,2.695989,48.670251
FRS41P8GZHKY23,17.0,34.0,Modulo,Modulo Energies,2.03553,47.31321
FRS28P9LZBZDEE,17.0,17.0,Modulo,Modulo Energies,1.391091,48.727654
FRS77P77142002,22.8,45.6,Bouygues E&S,Ecocharge77,2.909066,48.857899
FRS28PLZJCBVYH,17.0,34.0,Modulo,Modulo Energies,1.632298,48.2765
FRS41PHZKDBO5Y,22.0,44.0,Modulo,Modulo Energies,1.852306,47.633002
FRS41P4544,17.0,17.0,Modulo,Modulo Energies,1.369809,47.567044
FRLIBP182302803,22.0,88.0,Eoliberty,Eoliberty,2.370648,47.12803
FRS37PBBOMBNCU,17.0,34.0,Modulo,Modulo Energies,0.655129,47.418898
FROZEPDE0240B1GRBC001481,120.0,240.0,OZECAR,SAS OZECAR,8.783101,41.926708
FRS77P77126001,22.8,45.6,Bouygues E&S,Ecocharge77,2.974578,49.006927
FRS55P9MHUXHV6,17.0,34.0,Modulo,Modulo Energies,5.507144,48.513392
FRS41PEMBTZLP5,17.0,34.0,Modulo,Modulo Energies,2.178621,47.457754
FRS51PEI26RIYV,17.0,34.0,Modulo,Modulo Energies,3.720691,48.721745
FRS77P77345001,22.8,45.6,Bouygues E&S,Ecocharge77,3.229534,48.904442
FRS37PNOR7U7PX,17.0,34.0,Modulo,Modulo Energies,0.700201,46.974434
FROZEP26670301,7.4,14.8,OZECAR,OZECAR,8.7014934,42.025712
FRS77P77432001,22.8,45.6,Bouygues E&S,Ecocharge77,3.232304,48.792183
FRS37P221256,17.0,17.0,Modulo,Modulo Energies,0.91895,47.330502
FRS37P215807,17.0,17.0,Modulo,Modulo Energies,0.961663,46.831853
FRS37PFSMJ6CLH,17.0,34.0,Modulo,Modulo Energies,0.988131,47.411565
FROZEP26793054,22.0,22.0,OZECAR,OZECAR,9.4394348,42.6447275
FRS28PIRE9RG7X,17.0,17.0,Modulo,Modulo Energies,1.290792,48.76059
FRS37PTAJUIW86,17.0,34.0,Modulo,Modulo Energies,0.413926,46.948278
FRN54P9RNIESZA,22.0,264.0,Modulo,Modulo Energies,6.175381,48.689914
FRS41PCRBDIQGW,17.0,34.0,Modulo,Modulo Energies,1.355931,47.573036
FRS08PZMKHUKVM,24.0,46.0,Modulo,Modulo Energies,4.419153,49.698213
FRS41P4RNEVC3P,17.0,34.0,Modulo,Modulo Energies,1.769307,47.292443
FRS51PIX2FRJIU,17.0,34.0,Modulo,Modulo Energies,4.89263,49.091377
FRS41PRIUSFPOK,17.0,34.0,Modulo,Modulo Energies,0.929588,47.901046
FRS08PGAW8ZYE7,17.0,34.0,Modulo,Modulo Energies,5.044,49.6695
FRS28PY90KOTG7,17.0,17.0,Modulo,Modulo Energies,1.014208,48.471682
FRS77E774470011,22.0,44.0,Bouygues E&S,Ecocharge77,2.549188,48.557755
FROZEPT184IT10923129,180.0,360.0,OZECAR,SAS Ozecar,9.276947275,41.604621609
FRS28P0E2O4CCK,17.0,17.0,Modulo,Modulo Energies,1.771408,48.354695
FROZEP26793047,22.0,44.0,OZECAR,OZECAR,8.8614616,41.6997973
FRS51PZ1FGJR4Q,17.0,34.0,Modulo,Modulo Energies,4.005171,48.906003
FRS28PBAXO6ZDX,17.0,17.0,Modulo,Modulo Energies,1.583614,48.547241
FRS37PD2NN5JDP,17.0,34.0,Modulo,Modulo Energies,0.578016,47.443652
FRS51P3UGQCV7F,17.0,34.0,Modulo,Modulo Energies,3.996112,49.218544
FRS77P77354001,100.0,222.8,Bouygues E&S,Ecocharge77,2.87287086880438,48.46092966684901
FRS88P1IRXWMUE,25.0,47.0,Modulo,Modulo Energies,6.447231,48.163675
FRS88P9LX2VBDF,25.0,47.0,Modulo,Modulo Energies,6.40224,48.0442
FRS28PCDFYBNW2,17.0,17.0,Modulo,Modulo Energies,1.577741,48.586706
FROZEP26670312,22.0,44.0,OZECAR,OZECAR,9.5302838,42.3918344
FRS77P77118001,22.8,45.6,Bouygues E&S,Ecocharge77,2.687649,48.945904
FRS37P4SBXGDSCWDDE,17.0,34.0,Modulo,Modulo Energies,0.318453,47.020663
FRS37PFOQAVBVP,17.0,34.0,Modulo,Modulo Energies,0.49908,47.444663
FRS37PGZWR7EDF,17.0,34.0,Modulo,Modulo Energies,0.990664,47.443928
FRS28PDM9P5GDZ,17.0,17.0,Modulo,Modulo Energies,1.243168,48.299421
FROZEP6S0A22293164,22.0,22.0,OZECAR,OZECAR,9.1594,42.3027628
FRS77P77431001,24.0,92.39999999999999,Bouygues E&S,Ecocharge77,2.67831429,48.2705034
FRS28PVTXEFJEQ,17.0,17.0,Modulo,Modulo Energies,1.392673,48.220971
FRS37POW9NXPES,17.0,34.0,Modulo,Modulo Energies,0.392997,47.425585
FRS37P5C5LNVLX,17.0,34.0,Modulo,Modulo Energies,0.67733,47.379472
FRS28PMH38M8VR,17.0,17.0,Modulo,Modulo Energies,1.385027,48.182481
FRS51PUCVDZJ0I,17.0,34.0,Modulo,Modulo Energies,3.64144,49.078606
FRS55PCAFFBRLR,17.0,136.0,Modulo,Modulo Energies,5.166973,48.773186
FRS41PMGFYMG7G,17.0,34.0,Modulo,Modulo Energies,2.05821,47.42841
FRS28PKMGE9CMJ,17.0,17.0,Modulo,Modulo Energies,1.392723,48.113672
FROZEP12228023430012,22.0,44.0,OZECAR,OZECAR,8.7314786,42.0417727
FRS28PLG2WWM7R,17.0,17.0,Modulo,Modulo Energies,1.356077,48.7207
FRS41PX7TNVALU,22.0,44.0,Modulo,Modulo Energies,1.182929,47.475262
FRS77P77365001,22.8,45.6,Bouygues E&S,Ecocharge77,3.033389,48.713238
FRS51P95877,17.0,17.0,Modulo,Modulo Energies,4.040516,49.245067
FRS28PFLB4CAPQ,17.0,17.0,Modulo,Modulo Energies,1.626731,48.270532
FRLIBP922208532,22.0,44.0,Eoliberty,Eoliberty,2.304613,48.78532
FRS37PGPPXT9PD,17.0,34.0,Modulo,Modulo Energies,0.676511,47.384392
FRS77P77490001,22.8,45.6,Bouygues E&S,Ecocharge77,3.0927511,49.046368
FROZEPZPR335511,11.0,11.0,OZECAR,OZECAR,5.1296594,43.6287641
FRS41PHKCSDOLF,17.0,34.0,Modulo,Modulo Energies,1.460828,47.499325
FRS41PBVKABDAU,17.0,34.0,Modulo,Modulo Energies,1.90451,47.61043
FRS51PICM3WVAH,17.0,34.0,Modulo,Modulo Energies,4.514877,48.987472
FRFASP50981,300.0,5100.0,Fastned France,Fastned France,4.787287,44.72035
FRS37P5AXSMOXX,17.0,34.0,Modulo,Modulo Energies,0.66912,47.42307
FROZEPACE0057817,22.0,44.0,OZECAR,OZECAR,9.447495,41.9989769
FRS41P4866,17.0,17.0,Modulo,Modulo Energies,1.171846,47.501399
FRS08P9ATM7VTU,24.0,46.0,Modulo,Modulo Energies,4.383278,49.395725
FRS28PML7MPQLV,17.0,34.0,Modulo,Modulo Energies,1.348317,48.079206
FRS37P1385,17.0,17.0,Modulo,Modulo Energies,0.735517,47.288104
FRS41PDHCTBONK,17.0,34.0,Modulo,Modulo Energies,1.545043,47.549129
FRS41P4228,17.0,17.0,Modulo,Modulo Energies,2.023062,47.593796
FRS37PKLVCFZL0,17.0,34.0,Modulo,Modulo Energies,1.190249,47.257237
FRS37PJOUPDBI3,17.0,34.0,Modulo,Modulo Energies,0.638127,47.43707
FRS28PNKHAYUYY,17.0,17.0,Modulo,Modulo Energies,1.073028,48.689084
FRS08PDLGZ3UFK,24.0,46.0,Modulo,Modulo Energies,4.427569,49.869541
FRS77P77185001,22.8,45.6,Bouygues E&S,Ecocharge77,2.55056,48.448892
FRLIBP602604901,22.0,22.0,Eoliberty,Eoliberty,2.429213,49.14901
FRS08P129232,17.0,17.0,Modulo,Modulo Energies,4.54027,49.654708
FRS41PKFF0NB9V,17.0,34.0,Modulo,Modulo Energies,1.338914,47.587974
FRS77P77269002,22.8,45.6,Bouygues E&S,Ecocharge77,2.70193128005346,48.5488149892175
FRS37PGBCUHNZX,17.0,34.0,Modulo,Modulo Energies,0.510935,47.341249
FRS08PCKHFNGEU,24.0,46.0,Modulo,Modulo Energies,4.782989,49.526756
FRS37PUUM14P0N,17.0,34.0,Modulo,Modulo Energies,0.322903,47.442506
FRS77P77100002,22.8,45.6,Bouygues E&S,Ecocharge77,2.800076,48.509586
FRS41PLUV2LNFH,17.0,34.0,Modulo,Modulo Energies,1.332601,47.587793
FRFASP50810,300.0,1200.0,Fastned France,Fastned France,4.790058,49.073637
FRS37PEAUWFBB5,17.0,17.0,Modulo,Modulo Energies,0.778561,47.368393
FRS88PNSPORLTS,25.0,47.0,Modulo,Modulo Energies,5.82574,48.10823
FRS37P163851,17.0,17.0,Modulo,Modulo Energies,0.777079,47.363938
FRS37P219731,17.0,17.0,Modulo,Modulo Energies,0.788014,47.024564
FROZEP12228023430011,22.0,44.0,OZECAR,OZECAR,9.2936182,41.6325003
FRS51PQYMIWNTV,17.0,34.0,Modulo,Modulo Energies,4.468023,48.975782
FRS37PFVAFAWXZ,17.0,34.0,Modulo,Modulo Energies,0.977177,47.419462
FRS77P77109001,22.8,45.6,Bouygues E&S,Ecocharge77,3.195108,48.616379
FRLIBP742105949,22.0,44.0,Eoliberty,Eoliberty,6.31653,45.75949
FRS41P402W2FFB,17.0,34.0,Modulo,Modulo Energies,0.995718,47.851507
FRS77P77118003,24.0,46.8,Bouygues E&S,Ecocharge77,2.68868,48.945433
FRZUNP3649321977867046375,400.0,6551.4,Zunder,Zunder,-1.08937,43.937391
FRS08PMTC5LV4E,24.0,46.0,Modulo,Modulo Energies,4.70136,49.400247
FRS37P10699,17.0,17.0,Modulo,Modulo Energies,0.683976,47.421294
FROZEP12228023430007,22.0,22.0,OZECAR,OZECAR,9.3952307,41.8596182
FRS37PNWBF92RV,17.0,34.0,Modulo,Modulo Energies,0.995338,47.128861
FRS55PQAHUFALQ,17.0,34.0,Modulo,Modulo Energies,5.084508,48.68389
FRGSPP89621814,22.08,94.3,Greenspot,Greenspot,-1.139836,44.616895
FRS08PYA9IGCWW,24.0,46.0,Modulo,Modulo Energies,4.708943,49.312189
FRS28POGH8P8UH,17.0,17.0,Modulo,Modulo Energies,0.831218,48.313478
FRS28PXIP51BGA,17.0,17.0,Modulo,Modulo Energies,1.391698,48.188448
FRS88PWNZ9MAZS,25.0,47.0,Modulo,Modulo Energies,6.43929,48.1875
FRS37PY1KBY5KD,17.0,34.0,Modulo,Modulo Energies,0.677547,47.363736
FRLIBP580008692,50.0,144.0,Eoliberty,Eoliberty,3.172703,46.98692
FRS37PKG0ANNJB,17.0,17.0,Modulo,Modulo Energies,0.788014,47.024564
FRS41P1VAJIK2O,22.0,44.0,Modulo,Modulo Energies,1.494947,47.276351
FRS51P3CRZMWI1,17.0,34.0,Modulo,Modulo Energies,3.682168,49.307914
FRS51PS1M1PEYW,17.0,34.0,Modulo,Modulo Energies,4.046795,49.260411
