,id_pdc_itinerance,point_de_charge_id
115,FRELCE3V5E,f4f61025-f6ee-41af-a700-a8815345bc09
116,FRELCE3V9J,9483a4b2-0a90-4052-b908-c0b311c74dfd
117,FRELCE3WUF,eb933f8f-65f2-47c7-a35b-d1176daabdca
118,FRELCE3WVD,fec31b0e-2158-4bc2-b251-400c8e4540ac
119,FRELCE3X3V,caff86ff-baf0-49b7-a5b4-12a76ed08400
120,FRELCE3XEW,f3f64ec8-180f-4991-aa79-8784917d3f9b
121,FRELCE3XWJ,588af871-9442-46be-934c-14700b1b1f2d
122,FRELCE3YCR,6d30fd74-3ba7-430a-bd8f-2cfd7b1e712d
123,FRELCE3YYH,23e3d330-bb9e-4f1c-b8e2-f2bc9cbef478
124,FRELCE3Z9Y,441e725a-5013-48f8-bf20-d4d4e59f240d
125,FRELCE42ES,2a6882af-1eb5-45c8-ba8e-dc96f37554d5
126,FRELCE42K6,05ee0332-edc8-4e9b-855c-37b1a695b066
127,FRELCE43D6,9f114038-e202-42a5-beb1-295209c81109
128,FRELCE43UP,ed2f2982-b09b-42a9-a3be-ce025d423342
129,FRELCE43XS,1c919bbb-e157-41c0-84fa-b7d4af73b2f6
130,FRELCE44PJ,7c8d6a9d-4c34-4eb2-8dc8-aedde7063488
131,FRELCE44XC,2e74a662-beaa-455c-8514-2f9455f3d031
132,FRELCE44YT,7857c18a-f0cb-4374-a462-5426fb6d994f
133,FRELCE458E,45f92049-b5b0-4a1c-b907-65f26fba27c8
134,FRELCE45GE,e25c4df5-44fc-4301-aa4d-7a6f8d43b77b
135,FRELCE4632,8c456e39-a854-427e-96d3-a256747fb038
136,FRELCE47MK,527e5a3e-dc0f-43a5-a922-64334cba74c0
137,FRELCE48LV,63803489-1cc8-4b4e-9037-f71b6b966b42
138,FRELCE48X9,7e81108d-703b-450b-81b8-192cacb7ccfc
139,FRELCE49B6,c521a2c5-176c-4959-9ecb-5b3663357e77
140,FRELCE4AC3,0fc29922-1ddc-4c03-9afc-d13e7c53908d
141,FRELCE4ATU,f7e69228-218d-461d-8084-ad99c8f3d66f
142,FRELCE4BXS,9f759f4a-e20a-4a9b-baaf-a5cc44f8e7a7
143,FRELCE4CTU,9cd4e7ce-e3bc-4af2-a0c1-a83ae68c7f6d
144,FRELCE4CWR,913954ba-0c8a-4855-9a1f-cd1801ccbaa7
145,FRELCE4D95,8e3f56db-9477-4124-a658-ea6097625e12
146,FRELCE4DCB,4d6ba021-41f8-4887-afb7-4fc2cb085128
147,FRELCE4DEJ,46664d0b-a591-4ad3-856a-be7978452d26
148,FRELCE4EAQ,b7ec9fe8-4c8b-458d-a324-51697b1b7bbb
149,FRELCE4EFE,cdfbba60-e44d-4f7b-9c68-1322dbec06cc
150,FRELCE4ESA,c27448d2-249a-4e04-a2fb-2ff8abdb9a80
151,FRELCE4FF2,c5550fbe-a31d-4e04-90f4-30896d1efd1b
152,FRELCE4FLJ,b5f55d17-5345-4810-8f34-90a4b88e0966
153,FRELCE4FYE,63d2e189-aa40-4980-af44-6f5d76d5b589
154,FRELCE4G5L,77a8ac8e-83f0-4571-a9dd-fb0ba7e05b44
155,FRELCE4G87,42386950-140b-482d-8b3a-6590759a8a6d
156,FRELCE4GAD,17170b8d-52d3-4d6b-8efa-2c3f4878cbc7
157,FRELCE4GFX,4c331b0a-406b-4160-8f57-5ba092211845
158,FRELCE4H9H,b5ab5782-f88f-466a-bd6c-c46391da42fa
159,FRELCE4HMJ,bacefa46-ada8-4b27-a3a4-1d3d66dac8c8
160,FRELCE4HSG,2b5226cb-760e-455c-92dc-0e23793cbbb5
161,FRELCE4J76,b4888732-a415-4757-85d4-eec2238b8125
162,FRELCE4JJL,c270c98d-0195-4feb-8dde-c2d6838bebe4
163,FRELCE4KGE,cfc38f1d-62cd-4e07-adb1-2934a25f9487
164,FRELCE4KVE,b849bc03-72a0-4064-86ee-8f84cfc7beb9
165,FRELCE4LEY,385275b4-49cf-407e-b15d-3fcaaecb4431
166,FRELCE4M6F,b2af7d61-eba7-418f-ab6c-0f2a9040353a
167,FRELCE4N4A,46ddca59-20fc-4649-8c77-99080543e023
168,FRELCE4P7H,855e8058-416e-4a5e-86f8-346cbb49298b
169,FRELCE4PNZ,b63062e7-600e-491b-a2bf-becf26e88040
170,FRELCE4QPD,a22ab795-c2bf-4bb4-859c-7c7ce848a585
171,FRELCE4R6P,ceb645fc-b893-437e-aa78-337f1f54bc35
172,FRELCE4RUH,7fd76c6f-566f-46f6-a733-6b550728d80d
173,FRELCE4SHT,ebc04cec-7ed3-453a-ab31-953f00c07bbe
174,FRELCE4SLZ,906f0181-31d6-488a-a825-6b017c1594ea
175,FRELCE4T3V,100adc60-4276-4624-8f8d-ea558b8f2fcd
176,FRELCE4TY9,24cc9a33-11cc-4ff0-a3d3-ad84b60b7654
177,FRELCE4U9B,33884fcf-b49c-400a-bfca-4018285bbcd7
178,FRELCE4UBV,99231bae-15a2-445a-951c-b9537ba503e8
179,FRELCE4UDW,219c4295-68c1-4598-8452-2c2df5dbeef8
180,FRELCE4V6M,074fbba9-9b7d-4e3a-af0f-f6f079df73a8
181,FRELCE4W26,beb0a615-9460-4424-9a85-5af80bbfd277
182,FRELCE4WYB,1c1fc6fe-5d38-46ba-9e54-e2795529cc9a
183,FRELCE4XE3,56c2d2e7-69ec-42bf-9e77-68fc882b162a
184,FRELCE4XFA,c75846c3-9247-494b-9a06-6c9585a026b7
185,FRELCE4XHD,e0298eb8-b241-438c-9e7a-cca92565b51c
186,FRELCE4XPY,22fb7e00-e5d0-41ff-9022-3c5d18af7764
187,FRELCE4YAA,0a09ee47-5e2b-4b3c-a922-3f06648eebc6
188,FRELCE4YTF,c6e0a8df-3948-453f-9862-17c200705e96
189,FRELCE4Z4U,199427ce-3cc4-4a1e-94ba-a732aa8d0439
190,FRELCE4ZMC,805e73fd-e4ca-4da8-ae70-edd0c536d35d
191,FRELCE4ZVU,08113a50-97f2-45c6-a294-eedd1a973a86
